path,category,extension,bytes,human_size,modified,inode,hardlink_count,documentation_preservation
.gitignore,other,[none],63,63.00 B,2026-07-19T22:42:09.780878+09:00,26214407,1,copied_to_evidence_snapshot
.pytest_cache/.gitignore,other,[none],37,37.00 B,2026-07-20T02:16:48.251655+09:00,27131917,1,indexed_only_not_preserved
.pytest_cache/CACHEDIR.TAG,other,.tag,191,191.00 B,2026-07-20T02:16:48.251687+09:00,27131918,1,indexed_only_not_preserved
.pytest_cache/README.md,other,.md,302,302.00 B,2026-07-20T02:16:48.251609+09:00,27131916,1,indexed_only_not_preserved
.pytest_cache/v/cache/lastfailed,other,[none],2,2.00 B,2026-07-20T19:00:46.487337+09:00,27131922,1,indexed_only_not_preserved
.pytest_cache/v/cache/nodeids,other,[none],10338,10.10 KiB,2026-07-22T06:13:15.091588+09:00,27131921,1,indexed_only_not_preserved
README.md,other,.md,5335,5.21 KiB,2026-07-20T10:49:52.283751+09:00,26214401,1,copied_to_evidence_snapshot
artifacts/baselines/id_char_tfidf_svm.pkl,artifact,.pkl,35545946,33.90 MiB,2026-07-20T02:52:28.178236+09:00,26215336,1,indexed_only_not_preserved
artifacts/baselines/normalization_word_rewrite.pkl,artifact,.pkl,109377,106.81 KiB,2026-07-20T02:54:58.307789+09:00,26215367,1,indexed_only_not_preserved
artifacts/fusion/normalization_selector_v1.pkl,artifact,.pkl,100350213,95.70 MiB,2026-07-23T00:12:24.472087+09:00,26216635,1,indexed_only_not_preserved
artifacts/fusion/normalization_selector_v2.pkl,artifact,.pkl,100422017,95.77 MiB,2026-07-23T00:15:52.805408+09:00,26216670,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_16k/metadata.json,artifact,.json,843,843.00 B,2026-07-19T23:48:48.194791+09:00,26215200,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_16k/selection_metrics.json,artifact,.json,965,965.00 B,2026-07-19T23:52:56.406539+09:00,26215203,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_16k/selection_metrics_by_dialect.csv,artifact,.csv,1870,1.83 KiB,2026-07-19T23:52:56.405768+09:00,26215202,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_16k/selection_metrics_by_row.parquet,artifact,.parquet,819141,799.94 KiB,2026-07-19T23:52:56.404768+09:00,26215201,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_16k/tokenizer.json,artifact,.json,654455,639.12 KiB,2026-07-19T23:48:48.192124+09:00,26215199,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_24k/metadata.json,artifact,.json,843,843.00 B,2026-07-19T23:48:49.213123+09:00,26215206,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_24k/selection_metrics.json,artifact,.json,966,966.00 B,2026-07-19T23:52:56.891046+09:00,26215209,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_24k/selection_metrics_by_dialect.csv,artifact,.csv,1870,1.83 KiB,2026-07-19T23:52:56.890938+09:00,26215208,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_24k/selection_metrics_by_row.parquet,artifact,.parquet,819141,799.94 KiB,2026-07-19T23:52:56.889767+09:00,26215207,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_24k/tokenizer.json,artifact,.json,654455,639.12 KiB,2026-07-19T23:48:49.211123+09:00,26215205,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_32k/metadata.json,artifact,.json,843,843.00 B,2026-07-19T23:48:50.219104+09:00,26215212,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_32k/selection_metrics.json,artifact,.json,965,965.00 B,2026-07-19T23:52:57.367732+09:00,26215215,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_32k/selection_metrics_by_dialect.csv,artifact,.csv,1870,1.83 KiB,2026-07-19T23:52:57.367620+09:00,26215214,1,indexed_only_not_preserved
artifacts/tokenizers/candidates/byte_bpe_balanced_32k/selection_metrics_by_row.parquet,artifact,.parquet,819141,799.94 KiB,2026-07-19T23:52:57.365766+09:00,26215213,1,indexed_only_not_preserved
