path,category,extension,bytes,human_size,modified,inode,hardlink_count,documentation_preservation
data/pretraining/raw_fineweb2/data/ben_Beng/train/002_00000.parquet,data,.parquet,4844693262,4.51 GiB,2026-07-20T01:00:30.323260+09:00,26215406,1,indexed_only_not_preserved
data/pretraining/raw_fineweb2/data/ben_Beng/train/001_00000.parquet,data,.parquet,4844220493,4.51 GiB,2026-07-20T01:09:23.352097+09:00,26215410,1,indexed_only_not_preserved
data/pretraining/raw_fineweb2/data/ben_Beng/train/003_00000.parquet,data,.parquet,4843890412,4.51 GiB,2026-07-20T01:00:36.457140+09:00,26215405,1,indexed_only_not_preserved
data/pretraining/raw_fineweb2/data/ben_Beng/train/000_00000.parquet,data,.parquet,4843454638,4.51 GiB,2026-07-20T00:47:03.435666+09:00,26215402,1,indexed_only_not_preserved
data/pretraining/raw_fineweb2/data/ben_Beng/train/004_00000.parquet,data,.parquet,4518694895,4.21 GiB,2026-07-20T00:58:32.234601+09:00,26215409,1,indexed_only_not_preserved
runs/U_M1_SWITCH_200M/1701/checkpoint_tokens_000100007936.pt,run,.pt,3116056887,2.90 GiB,2026-07-20T17:07:08.534686+09:00,27000978,1,indexed_only_not_preserved
runs/U_M1_SWITCH_200M/1701/final_checkpoint.pt,run,.pt,3116040833,2.90 GiB,2026-07-20T18:57:58.099560+09:00,27000980,3,indexed_only_not_preserved
runs/U_M1_SWITCH_200M/1701/checkpoint_tokens_000200000512.pt,run,.pt,3116040833,2.90 GiB,2026-07-20T18:57:58.099560+09:00,27000980,3,indexed_only_not_preserved
runs/U_M1_SWITCH_200M/1701/last_checkpoint.pt,run,.pt,3116040833,2.90 GiB,2026-07-20T18:57:58.099560+09:00,27000980,3,indexed_only_not_preserved
runs/P_M1_AUX_ROUTER_10M/1701/final_checkpoint.pt,run,.pt,3116040321,2.90 GiB,2026-07-20T15:00:58.231515+09:00,27000972,3,indexed_only_not_preserved
runs/P_M1_AUX_ROUTER_10M/1701/last_checkpoint.pt,run,.pt,3116040321,2.90 GiB,2026-07-20T15:00:58.231515+09:00,27000972,3,indexed_only_not_preserved
runs/P_M1_LOSS_FREE_ROUTER_10M/1701/checkpoint_tokens_000010000384.pt,run,.pt,3116040321,2.90 GiB,2026-07-20T14:47:37.318166+09:00,27000965,3,indexed_only_not_preserved
runs/P_M1_LOSS_FREE_ROUTER_10M/1701/final_checkpoint.pt,run,.pt,3116040321,2.90 GiB,2026-07-20T14:47:37.318166+09:00,27000965,3,indexed_only_not_preserved
runs/P_M1_AUX_ROUTER_10M/1701/checkpoint_tokens_000010000384.pt,run,.pt,3116040321,2.90 GiB,2026-07-20T15:00:58.231515+09:00,27000972,3,indexed_only_not_preserved
runs/P_M1_LOSS_FREE_ROUTER_10M/1701/last_checkpoint.pt,run,.pt,3116040321,2.90 GiB,2026-07-20T14:47:37.318166+09:00,27000965,3,indexed_only_not_preserved
runs/aborted/U_M1_SWITCH_200M_zero_router_collapse_20260720/1701/last_checkpoint.pt,run,.pt,3116040257,2.90 GiB,2026-07-20T14:30:23.561549+09:00,27000958,1,indexed_only_not_preserved
runs/task/boichitro_q1_v1/M1__base/1701/stage_id/best_checkpoint.pt,run,.pt,1524635638,1.42 GiB,2026-07-21T11:55:58.995844+09:00,26216114,1,indexed_only_not_preserved
runs/task/boichitro_q1_v1/M1__base/2903/stage_id/best_checkpoint.pt,run,.pt,1524635574,1.42 GiB,2026-07-21T15:28:29.736380+09:00,26216234,1,indexed_only_not_preserved
runs/task/boichitro_q1_v1/M1__base/4307/stage_id/best_checkpoint.pt,run,.pt,1524635574,1.42 GiB,2026-07-21T18:50:02.282235+09:00,26216336,1,indexed_only_not_preserved
runs/task/boichitro_q1_v1/M1__base/4307/stage_s/best_checkpoint.pt,run,.pt,1524635510,1.42 GiB,2026-07-21T17:52:17.519951+09:00,26216283,1,indexed_only_not_preserved
runs/task/boichitro_q1_v1/M1__base/1701/stage_s/best_checkpoint.pt,run,.pt,1524635510,1.42 GiB,2026-07-21T10:39:41.032355+09:00,26216046,1,indexed_only_not_preserved
runs/task/boichitro_q1_v1/M1__base/2903/stage_s/best_checkpoint.pt,run,.pt,1524635446,1.42 GiB,2026-07-21T14:16:39.769367+09:00,26216164,1,indexed_only_not_preserved
runs/U_M2_STANDARD_MOE_200M/1701/checkpoint_tokens_000100007936.pt,run,.pt,1417391679,1.32 GiB,2026-07-20T12:22:19.993531+09:00,27000951,1,indexed_only_not_preserved
runs/U_M2_STANDARD_MOE_200M/1701/checkpoint_tokens_000200000512.pt,run,.pt,1417374545,1.32 GiB,2026-07-20T13:53:32.148254+09:00,27000953,3,indexed_only_not_preserved
runs/U_M2_STANDARD_MOE_200M/1701/final_checkpoint.pt,run,.pt,1417374545,1.32 GiB,2026-07-20T13:53:32.148254+09:00,27000953,3,indexed_only_not_preserved
runs/U_M2_STANDARD_MOE_200M/1701/last_checkpoint.pt,run,.pt,1417374545,1.32 GiB,2026-07-20T13:53:32.148254+09:00,27000953,3,indexed_only_not_preserved
runs/P_M2_ANNEALED_20M/1701/checkpoint_tokens_000020000768.pt,run,.pt,1417374033,1.32 GiB,2026-07-20T10:27:27.468108+09:00,27000938,3,indexed_only_not_preserved
runs/P_M2_ANNEALED_20M/1701/final_checkpoint.pt,run,.pt,1417374033,1.32 GiB,2026-07-20T10:27:27.468108+09:00,27000938,3,indexed_only_not_preserved
runs/P_M2_ANNEALED_20M/1701/last_checkpoint.pt,run,.pt,1417374033,1.32 GiB,2026-07-20T10:27:27.468108+09:00,27000938,3,indexed_only_not_preserved
runs/P_M2_PAIRED_20M/1701/checkpoint_tokens_000020000768.pt,run,.pt,1417374033,1.32 GiB,2026-07-20T10:47:47.240298+09:00,27000945,3,indexed_only_not_preserved
runs/P_M2_PAIRED_20M/1701/final_checkpoint.pt,run,.pt,1417374033,1.32 GiB,2026-07-20T10:47:47.240298+09:00,27000945,3,indexed_only_not_preserved
runs/P_M2_PAIRED_20M/1701/last_checkpoint.pt,run,.pt,1417374033,1.32 GiB,2026-07-20T10:47:47.240298+09:00,27000945,3,indexed_only_not_preserved
runs/P_M2_BANKED_20M/1701/final_checkpoint.pt,run,.pt,1417373905,1.32 GiB,2026-07-20T09:24:41.039325+09:00,27000920,3,indexed_only_not_preserved
runs/P_M2_BANKED_20M/1701/last_checkpoint.pt,run,.pt,1417373905,1.32 GiB,2026-07-20T09:24:41.039325+09:00,27000920,3,indexed_only_not_preserved
