dialect,validation_support,m0_f1_mean,m0_f1_sd,m1_f1_mean,m1_f1_sd,m1_minus_m0
BAR,413,0.836471,0.015049,0.845074,0.009815,0.008603
CHI,1991,0.944568,0.000511,0.948089,0.003110,0.003521
KHU,86,0.461331,0.077942,0.461341,0.044160,0.000010
KIS,797,0.755937,0.005903,0.763151,0.008545,0.007215
MYM,302,0.782647,0.004949,0.755898,0.008001,-0.026750
NAR,865,0.780257,0.013539,0.784210,0.011045,0.003953
NOA,260,0.783589,0.010932,0.785301,0.013078,0.001712
NSD,576,0.679055,0.018853,0.701450,0.017205,0.022395
RAJ,91,0.763397,0.046961,0.769636,0.015867,0.006239
RAN,680,0.767028,0.007011,0.782470,0.010668,0.015442
STD,2251,0.918508,0.000647,0.918639,0.004246,0.000130
SYL,1407,0.899668,0.002965,0.905822,0.004529,0.006155
TAN,519,0.656097,0.007041,0.671344,0.019114,0.015247
