dialect,rows,chrfpp,sacrebleu,ter,cer,wer,exact_match,number_preservation,model,split
BAR,333,36.27888031127404,7.486336283119481,67.13973799126637,0.4297237569060773,0.6956772334293948,0.009009009009009,1.0,Copy (source-blind),validation
CHI,1706,44.68950719861873,15.945373847916574,60.310062773444926,0.3261867473132797,0.6282992657273269,0.0808909730363423,1.0,Copy (source-blind),validation
KHU,89,33.28331295051447,5.986173288320422,78.99159663865547,0.4997726239199636,0.8156028368794326,0.0,,Copy (source-blind),validation
MYM,250,54.88614769016474,22.3182972283093,43.43859649122807,0.1951667608818541,0.4530102790014684,0.056,1.0,Copy (source-blind),validation
NAR,101,38.6202971760622,7.560415960808371,73.18840579710145,0.462509012256669,0.7598425196850394,0.0,,Copy (source-blind),validation
NOA,249,33.63866319832639,6.166077947669576,69.7396199859254,0.3988103668035689,0.7218543046357616,0.0040160642570281,1.0,Copy (source-blind),validation
RAN,159,23.763874216320445,2.0662883252016773,85.96287703016242,0.5726474890297416,0.8761290322580645,0.0,,Copy (source-blind),validation
SYL,1402,42.04399970990968,12.638820520862158,64.01166180758018,0.3408674272650808,0.6726981782373215,0.0156918687589158,1.0,Copy (source-blind),validation
BAR,333,52.050580718649655,23.197751172257632,49.18122270742359,0.3250828729281768,0.5072046109510087,0.048048048048048,1.0,Pooled rewrite (source-blind),validation
CHI,1706,60.17701835622648,30.459337734256064,40.973939509225794,0.2262065489370128,0.43292319904743,0.1008206330597889,1.0,Pooled rewrite (source-blind),validation
KHU,89,33.64754835928544,7.735953423693693,79.2016806722689,0.5084129149613461,0.8156028368794326,0.0,,Pooled rewrite (source-blind),validation
MYM,250,69.27356933466311,41.15071552089948,30.596491228070175,0.1368004522328999,0.3193832599118942,0.128,1.0,Pooled rewrite (source-blind),validation
NAR,101,39.437941126248695,11.54051602071287,71.37681159420289,0.464311463590483,0.7421259842519685,0.0,,Pooled rewrite (source-blind),validation
NOA,249,49.81146975381732,16.702576888763872,50.52779732582688,0.2890525421328423,0.5253863134657837,0.0281124497991967,1.0,Pooled rewrite (source-blind),validation
RAN,159,28.60899322181002,6.661794571260324,80.04640371229699,0.5438810336421258,0.8090322580645162,0.0062893081761006,,Pooled rewrite (source-blind),validation
SYL,1402,52.88497775606352,24.05146103991972,51.7667638483965,0.2879634222615222,0.5448055145248646,0.0363766048502139,1.0,Pooled rewrite (source-blind),validation
BAR,333,50.99397867297376,23.13289745528356,50.21834061135371,0.3173480662983425,0.5164265129682997,0.051051051051051,1.0,Inferred rewrite (source-blind),validation
CHI,1706,62.09651965508296,33.20684589685122,39.47118128210006,0.2139295422224622,0.4165509029569359,0.1143024618991793,1.0,Inferred rewrite (source-blind),validation
KHU,89,35.18981215152996,8.92731341247231,76.89075630252101,0.4956798544793088,0.7848699763593381,0.0,,Inferred rewrite (source-blind),validation
MYM,250,74.92438143989803,52.86507127352103,24.63157894736842,0.1088185415488976,0.2562408223201174,0.24,1.0,Inferred rewrite (source-blind),validation
NAR,101,40.11466285311887,9.542343787009822,72.28260869565217,0.460706560922855,0.7401574803149606,0.0099009900990099,,Inferred rewrite (source-blind),validation
NOA,249,51.17642268914785,21.0185142591877,49.26108374384236,0.2818297691545107,0.5114054451802796,0.0281124497991967,1.0,Inferred rewrite (source-blind),validation
RAN,159,30.38767920876047,7.81746318065338,78.07424593967517,0.5319356411506582,0.7819354838709678,0.0062893081761006,,Inferred rewrite (source-blind),validation
SYL,1402,55.1586244702213,27.259001059528053,48.02332361516035,0.2731684171932624,0.5061546036435254,0.0606276747503566,1.0,Inferred rewrite (source-blind),validation
BAR,333,50.97826198697434,23.20754874293696,49.890829694323145,0.316353591160221,0.5152737752161384,0.057057057057057,1.0,Rewrite (gold-dialect oracle),validation
CHI,1706,62.19221560537683,33.41550404606252,39.319003233783526,0.2138035318896149,0.4152609644770788,0.111957796014068,1.0,Rewrite (gold-dialect oracle),validation
KHU,89,34.604074486182256,7.733243332745833,77.10084033613445,0.4993178717598908,0.789598108747045,0.0,,Rewrite (gold-dialect oracle),validation
MYM,250,77.08937935371762,56.3633023936296,22.24561403508772,0.0979366873940079,0.2320117474302496,0.264,1.0,Rewrite (gold-dialect oracle),validation
