source_id,dialect,rows
bd_dialect_v2,CHI,1428
bd_dialect_v2,MYM,1384
bd_dialect_v2,NOA,1400
bd_dialect_v2,RAJ,1387
bd_dialect_v2,SYL,1430
chattogramsent_v2_novel,CHI,2820
kothon_v4,CHI,7929
kothon_v4,SYL,9216
local_chatgaiyyaalap_v1,CHI,3998
local_regional_text_corpus_v4,BAR,1084
local_regional_text_corpus_v4,KHU,901
local_regional_text_corpus_v4,NAR,1130
local_regional_text_corpus_v4,RAN,1386
local_sylheti_translation_v2,SYL,1169
local_vashantor_v2,BAR,2467
local_vashantor_v2,CHI,2493
local_vashantor_v2,MYM,2493
local_vashantor_v2,NOA,2491
local_vashantor_v2,SYL,2492
onubad_v2,BAR,608
onubad_v2,CHI,668
onubad_v2,SYL,674
sylheti_translation_v3_novel,SYL,3550
synthetic_robustness_v1,BAR,408
synthetic_robustness_v1,CHI,909
synthetic_robustness_v1,KHU,106
synthetic_robustness_v1,MYM,280
synthetic_robustness_v1,NAR,139
synthetic_robustness_v1,NOA,280
synthetic_robustness_v1,RAN,164
synthetic_robustness_v1,SYL,1039
