row_id,dialect,split,task,characters
e10e4d024dd4bbbce565c1ce9600ca8c327fb436b3105497f28e906630b3fe42,NOA,train,identification,23
77eee5f8876131dc87b2273fe704a3e1a3939c9d301cf4bc2461cecc79f182c6,STD,train,identification,11
c7cd14d0b3bf432b9ce367cacdb187a8aab2a7f0617970ff428ec3f5b972dc01,CHI,train,identification,30
9967de230ee0301ead7c487d857961f170ca351ccab83d04b56c8bb8478c7cb9,BAR,train,identification,34
62161b412b768e9c97b69ecf279280bec48b423f5f2041ef7ace9d9bda60f6fd,TAN,train,identification,17
dfc257589e0777469d4cf7fe528b081aad2ffa7d47a5dbbadeba49d59accc1af,KIS,train,identification,23
652e24db49fda091cf9b32f01b802e3bdf1662a1d42fc079aa206f730c1ab39d,CHI,train,normalization,33
06e365d2b66068b91b02d36394dadc189f1c0cedbbad3f3e3627bb7c170cb3e0,STD,train,identification,20
78b77bbd8c994fb8aa8d8b84bf0751d22e0fa76baa06c1bb287545be4cd698c3,STD,test_ood,identification,7
9f920471c11e94204fa81afb02a472bb65abf69c18024bf0f7f30ff19f5d0595,NOA,train,normalization,49
b08ef3c7c907daee050ef3f61aa3a2cae5dacc3280bc4378c90e7ff99e15929b,SYL,validation,normalization,35
5e51b41f8d7b1417a1e981881e5f00bf9e6b50310edb69303aadb28bed551bcf,SYL,train,normalization,60
ee57e178128cfa83ac3a91684a47a1fccde437a983ceb2014e5cea71c81ccc9c,STD,train,identification,38
6c55d71d69bb45554da9a057a7918c9a56cb6471763b6b5f62ebbd7857cb27d8,BAR,test_ood,identification,28
220cb395c518b545c2aaa8b7985c3b717dfdfe6826dd0b71adefce2553a14f21,NOA,train,normalization,46
366a498a0e96c00c532a33d4635e5feb0b025e372e27d8f310f42c084b7664de,SYL,train,identification,17
9e00fa1e99147ab83c827c3bf7d356c9ab8b0acd611d496baad908c7213fef7d,STD,train,identification,6
5de15c3f19355b8b4e81ebf90efe16d11143e75fe974dce77e79b5c3917bb989,SYL,train,normalization,27
b4a350aebe49898dff763f2bd37231de34192e2dc89dff8a29c6bf8974d8cd9c,CHI,train,normalization,49
f17cc27990ef782c5bbc3f997e95de43b83ab5caf3db058974874825be6b39f7,NSD,train,identification,51
9609cfc8a22f0a95d3bb3b51e0834bbb2cb05632458c41a597ec39b3f5f6113b,CHI,train,normalization,31
f21087af5d240b9f28385173e0e7f0de0bf49ebea0572261cf70c717d3581a63,SYL,train,normalization,21
56692c9d4e9c0b024461781c2412bfe4cc2c1f4338b9e9c29e740bd1ee68799c,SYL,train,identification,248
5f33f03f8ede94cf921d3fce9330ff565e82f243f07fd5ff4398a9eae4852965,RAN,train,identification,6
582661329ffc2f5bb1d05c1b06342cb0403dfe084dbde2f97c7cf6f34948cac7,TAN,train,identification,7
a61dfcc7958fd27da322c179da4f301d185a63997ec343f7adb0005d141dc7e8,STD,validation,identification,23
62ab7df78228b35a94ffa7fbc103a0f9bff5b9e953c61d32bd284c34eab1be15,CHI,train,identification,50
4f9cf10fea1b3ff318bd5b99b5d0c50894ab01a3e6b4a6368ad7cf9b332b871f,KIS,train,identification,126
3056278c4f1c48f0b358deeca5248edc387a8105e61cecb4d3bdccf7ceb28c35,SYL,train,normalization,38
8a3fff33a021d41ac05d0a5ba100e34fb502a721be1c3b14c65828aa5be713bf,SYL,train,identification,52
531e9d85e4540083379fd642ded2aad8a11beed35f737a258aba464b7bde1853,STD,train,identification,25
903c089521125e0d6c3472f6dc848a222bca1d94a142325b73bb8030669df459,MYM,test,identification,46
86c9893e2902a4e32f9e583957be5fa18fe7230de922347469d7185a7cacebfb,STD,train,identification,62
e0090f46d67c55c6c74cc822ab49d41780dce578fd40238179bbdd27dd596d52,KIS,test,identification,16
7e34702664c4641106a238da56f1ac570d8957fed2cb5181bca11b764bb223de,NSD,validation,identification,25
1ba3120a74233f260cf8090ecce1cf45d59237c1eaa40070edcc2fc3706651b4,STD,train,identification,33
e6b35424db13e2aea02fc462d127f2ee17e4f798dc54562a187da34fbfed0b7e,CHI,test_ood,identification,12
6620ac67fef0b98adade41271fffa03307a6248e519a0e0762d9689f5702b1ec,BAR,train,normalization,29
78505230fd0c6defcf41ca19f4e5ef4c6522f8aec4ad2a54c65282d7f01c4c06,BAR,train,identification,23
e5c45c524e1bd4009913f336ccb9a0f7ed238f020277bbac84e782b81b98b914,KHU,train,normalization,19
c1c1ff69eff3d9dcf85f928b5f9124298d5d9792a6202032efcb52cae1699aac,CHI,train,normalization,37
663f1aff7329dd4fa8e54e1df42bae750df2e8740fdd00741d4e84ae49f35341,CHI,train,normalization,18
a900b2cb1b7d346e8a3fbeae95ce7c6ffa110b930c2c68ded0bea6c0f8da76bb,RAN,train,identification,37
aad4f7093b660974c47ee100c329ed5917c5cbe91cc827dd1618c3e3f1684a11,CHI,train,identification,39
32207e08c0caf8079748beaded63d6a579271fdae42d266f54fddb895ecf8005,KIS,train,identification,22
7c95c3b5c75c2c35b62dd7623f0a02e336c887fa90dccf1762aea50f261ef588,NAR,train,identification,31
533557a4f802cd2da9bab92e08137ff336cad8131c6469a4a406e643025be54d,MYM,test_ood,normalization,4
54c76e5b2676d2662f6811290d2942affcbdfac92b171a087c451786a2e8ebf1,STD,validation,identification,18
2decf47d56073f950f3d641c2be0440cd5ea656f4ef17ce15c059b6587286f12,KIS,train,identification,9
8563b757fac133bc53148b2c8a8500e60eb8830c2d5b55b55e73c5ca61d2049a,SYL,train,normalization,61
6f5d4cc66f879cf9b1a0fe3e77c41884ad4ee26df92306719f60422b05d94731,STD,train,identification,17
a953b433c1e62a85922dcc368f055a4d25963f57e58e4d59365c09a67ee04ec7,NAR,train,identification,19
76172b57cb5ec1875278bf8d7f3b154ea8d7d9d5057a23fa123269bbcb069da7,NOA,train,normalization,32
37723e12f0313e49328c6d082a078efeb6194201c7fc57ade49dfc10f71c11c5,CHI,train,identification,34
5324e220e866c3e6baea2f7eb9e0ca61ec84046ba7d892270934591438c6f504,SYL,train,identification,46
30e12c66e5c2f25edc4591a3e2275a4ce045bc96ac8717d55d6cff74c3ba6e00,TAN,train,identification,34
5d52e058ac94f464850e9411c828149e6424b00148f2012a62def3d75a11f796,CHI,train,normalization,56
65e8ae869900480e9ebd8abf2022011425e99c2bed2441ad46dcb1e22d9591c7,SYL,train,normalization,111
ba807ce2bbf4097bb09161fdbc7d6c8c3b38c329b055ee5aea572d3c11f7e636,CHI,validation,identification,47
4cf37159af8cdde359fe6e23c732d6deade7238bf34071b7150dc9861949a71d,SYL,train,identification,93
66e525fb896351f12b388317a24f0e41b7a233998f25de02030a9d1f154fb581,RAJ,test_ood,normalization,7
2a20e683a9a7c48305f71c7c6b7983dcb4452c0cf31acbaf9d2f7554541f6a25,NAR,train,normalization,18
5f6a762e8f51215a332d0b8b00948e3892cc7d25300873a1c2787b6acf73c781,SYL,train,normalization,7
246aa329575da10f0d458e610ccaf256b1220c3d9b7d632ca4b0dbe425174641,CHI,train,identification,64
b02f74aadb99c9163314e4ab43bb1288bc9b1275ef876fd0b03bc3f2c7fcef3d,CHI,train,normalization,22
3f31d14b3cc1d3f4b13f8c00c617e1b150fb62cbb79ad17db0e900c9173cb616,CHI,test,normalization,36
