task,run,system,value
normalization,M0-1701,Raw neural,41.185891991833344
normalization,M0-1701,Fair rewrite,50.00526014259165
normalization,M0-1701,Fixed fusion,52.523347218920094
normalization,M0-2903,Raw neural,41.23234147216442
normalization,M0-2903,Fair rewrite,50.00526014259165
normalization,M0-2903,Fixed fusion,52.827825397144046
normalization,M0-4307,Raw neural,41.03549494251952
normalization,M0-4307,Fair rewrite,50.00526014259165
normalization,M0-4307,Fixed fusion,52.780730807633816
normalization,M1-1701,Raw neural,42.27770809214027
normalization,M1-1701,Fair rewrite,50.00526014259165
normalization,M1-1701,Fixed fusion,52.606682952379686
normalization,M1-2903,Raw neural,41.801767369176716
normalization,M1-2903,Fair rewrite,50.00526014259165
normalization,M1-2903,Fixed fusion,52.51894641950851
normalization,M1-4307,Raw neural,41.96331611941292
normalization,M1-4307,Fair rewrite,50.00526014259165
normalization,M1-4307,Fixed fusion,52.74451745144691
identification,M0-1701,Raw neural,0.760473111073548
identification,M0-1701,Character SVM,0.7733845321121686
identification,M0-1701,Fixed fusion,0.8013365135296011
identification,M0-2903,Raw neural,0.751882575530527
identification,M0-2903,Character SVM,0.7733845321121686
identification,M0-2903,Fixed fusion,0.7969091390036409
identification,M0-4307,Raw neural,0.765155735561942
identification,M0-4307,Character SVM,0.7733845321121686
identification,M0-4307,Fixed fusion,0.7990159713790558
identification,M1-1701,Raw neural,0.7669714809199738
identification,M1-1701,Character SVM,0.7733845321121686
identification,M1-1701,Fixed fusion,0.8025664645646309
identification,M1-2903,Raw neural,0.7678318337997753
identification,M1-2903,Character SVM,0.7733845321121686
identification,M1-2903,Fixed fusion,0.804342982614011
identification,M1-4307,Raw neural,0.7586434247222485
identification,M1-4307,Character SVM,0.7733845321121686
identification,M1-4307,Fixed fusion,0.8010715331540399
