global_step,microbatch,tokens_seen,loss,lm_loss,mtp_loss,gradient_norm,lr_scale,interval_tokens_per_second,overall_tokens_per_second,peak_memory_gib,variant,tokens_millions,bank_constraint_strength,router_load_cv,router_entropy,router_z_loss
10,320,1310720,3.609870195388794,3.309804439544677,5.787873268127441,0.129774019122123,0.9999388899385641,11285.735510157432,11285.735510157432,9.22061824798584,M1,1.31072,1.0,0.256914675235748,2.077744483947754,4.3306660652160645
20,640,2621440,4.218955516815185,3.902535438537597,6.118060111999512,0.12749926745891502,0.999690658759632,13948.549672988553,12476.647641660367,9.22135066986084,M1,2.62144,1.0,0.14581930637359602,2.077062368392944,4.349055290222168
30,960,3932160,3.612537145614624,3.310706853866577,5.825296401977539,0.124642364680767,0.9992515923451931,14595.341275514618,13111.058193236006,9.22379207611084,M1,3.93216,1.0,0.10570185631513501,2.075744152069092,4.345672130584717
40,1280,5242880,4.00849437713623,3.693608999252319,6.086649417877197,0.12630000710487302,0.9986218770218691,15542.737011516349,13644.742031452502,9.22379207611084,M1,5.24288,0.0,0.095776855945587,2.073938846588134,4.342894554138184
50,1600,6553600,3.8121447563171382,3.5023903846740723,5.983932018280029,0.130640625953674,0.9978017800219671,15445.721913330017,13970.53651809823,9.22379207611084,M1,6.5536,0.0,0.12756156921386702,2.072335958480835,4.343889236450195
60,1920,7864320,3.892095804214477,3.579597949981689,6.036637783050537,0.127805218100547,0.996791649370071,15828.551749091122,14249.309485613741,9.22379207611084,M1,7.86432,0.0,0.131512835621833,2.070402145385742,4.342830657958984
70,2240,9175040,4.112141132354736,3.785508632659912,6.318257331848144,0.12767817080020902,0.99559191373535,15425.148683967953,14406.190244201416,9.22379207611084,M1,9.17504,0.0,0.22554859519004802,2.068004846572876,4.346719741821289
80,2560,10485760,3.747098207473755,3.443810939788818,5.850845813751221,0.130309298634529,0.994203082249643,12140.738003955266,14077.82631813867,9.22379207611084,M1,10.48576,0.0,0.15680576860904602,2.065418004989624,4.350558280944824
90,2880,11796480,3.638788938522339,3.340704441070556,5.749731063842773,0.12924569845199502,0.992625744291401,15395.141802341017,14212.955136465649,9.22379207611084,M1,11.79648,0.0,0.07384604960680001,2.062629461288452,4.3515448570251465
100,3200,13107200,4.018361091613769,3.700985908508301,6.132373332977295,0.126431331038475,0.9908605692355701,15619.880894014263,14342.138736156005,9.22379207611084,M1,13.1072,0.0,0.18855218589305803,2.05888557434082,4.365294933319092
110,3520,14417920,4.168869018554687,3.848860740661621,6.180093288421631,0.128173068165779,0.9889083061695311,14739.523304246903,14377.377002640067,9.22379207611084,M1,14.41792,0.0,0.25902542471885603,2.055275440216064,4.376695156097412
120,3840,15728640,4.017539978027344,3.69924783706665,6.151957988739014,0.128385439515113,0.9867697835752071,15822.430775244062,14487.639337263956,9.22379207611084,M1,15.72864,0.0,0.12918181717395702,2.052976369857788,4.379627227783203
130,4160,17039360,4.063979148864746,3.745096921920776,6.162306785583496,0.13130217790603602,0.9844459089774821,13382.865228779372,14396.221791119102,9.22379207611084,M1,17.03936,0.0,0.10061231255531301,2.048614740371704,4.386085033416748
140,4480,18350080,4.093800544738769,3.774191379547119,6.175714492797852,0.12929569184780101,0.981937668559074,12594.264514083598,14250.583262097636,9.224287986755371,M1,18.35008,0.0,0.20597864687442702,2.042631387710571,4.404229164123535
150,4800,19660800,3.714524030685425,3.414672374725342,5.7743730545043945,0.128132700920104,0.97924612674203,12949.597471993546,14155.772291389208,9.224287986755371,M1,19.6608,0.0,0.17912928760051702,2.035829782485962,4.416928291320801
160,5120,20971520,3.799992561340332,3.493445634841919,5.906412601470947,0.12705115973949402,0.9763724257360131,9041.359954198495,13672.394624073851,9.224287986755371,M1,20.97152,0.0,0.14984838664531702,2.028862714767456,4.428889274597168
170,5440,22282240,3.367767810821533,3.082579135894775,5.480625629425049,0.130224481225013,0.9733177850535881,12994.377044576404,13630.558617399742,9.224287986755371,M1,22.28224,0.0,0.081146247684955,2.021411657333374,4.449315071105957
180,5760,23592960,3.337454795837402,3.048001289367676,5.571587085723877,0.131190672516822,0.970083500992693,12554.421601965312,13565.956200463246,9.224287986755371,M1,23.59296,0.0,0.175724938511848,2.018518686294555,4.462956428527832
190,6080,24903680,3.42345929145813,3.131845951080322,5.617751121520996,0.127390533685684,0.966670946086533,12532.11977783776,13507.309640032936,9.224287986755371,M1,24.90368,0.0,0.12762045860290502,2.010311841964721,4.487863540649414
