rows,tokens,characters,train_rows,validation_rows,bytes,shard_index,validation_fraction
10000,5818413,24830052,9911,89,16716774,0,0.0089
10000,5874774,25051180,9888,112,17008543,1,0.0112
10000,5630008,24116593,9902,98,16307291,2,0.0098
10000,5953384,25457364,9901,99,17078712,3,0.0099
10000,6134810,26177845,9909,91,17502598,4,0.0091
10000,5850980,24934612,9906,94,16872028,5,0.0094
10000,5679244,24252325,9899,101,16411968,6,0.0101
10000,5786838,24753492,9880,120,16617851,7,0.012
10000,6211540,26516003,9923,77,17636145,8,0.0077
10000,5704012,24351483,9883,117,16472280,9,0.0117
10000,5852382,24931377,9860,140,16788943,10,0.014
10000,5287312,22685658,9893,107,15446180,11,0.0107
10000,5163571,22159675,9905,95,15018268,12,0.0095
10000,5565579,23883626,9886,114,16019690,13,0.0114
10000,5293228,22707885,9899,101,15457058,14,0.0101
10000,5222967,22424082,9906,94,15143989,15,0.0094
10000,5755687,24725921,9890,110,16457466,16,0.011
10000,5263665,22522232,9899,101,15348322,17,0.0101
10000,5148573,22081081,9898,102,14973071,18,0.0102
10000,5676440,24317607,9913,87,16284611,19,0.0087
10000,5312709,22828862,9967,33,15531322,20,0.0033
10000,5057733,21741000,9959,41,14733033,21,0.0041
10000,5541849,23761704,9889,111,15997902,22,0.0111
10000,4981375,21405159,9916,84,14572416,23,0.0084
10000,5574214,23955761,9885,115,15998728,24,0.0115
10000,4963890,21284501,9904,96,14537542,25,0.0096
10000,5569313,23886755,9914,86,16022734,26,0.0086
10000,4854797,20844431,9891,109,14276667,27,0.0109
10000,5516049,23714895,9898,102,15877967,28,0.0102
10000,4979714,21348487,9919,81,14611262,29,0.0081
10000,5393244,23164008,9895,105,15533409,30,0.0105
10000,4932230,21244121,9909,91,14495194,31,0.0091
10000,5435361,23312796,9907,93,15699930,32,0.0093
10000,4995638,21430605,9846,154,14545552,33,0.0154
10000,5148098,22140099,9904,96,15015277,34,0.0096
10000,5308328,22823020,9913,87,15388210,35,0.0087
10000,5187117,22277330,9893,107,15107762,36,0.0107
10000,5073778,21815696,9891,109,14828433,37,0.0109
10000,5299472,22812366,9894,106,15412671,38,0.0106
10000,5095448,21906917,9895,105,14827294,39,0.0105
10000,4986457,21451833,9891,109,14601928,40,0.0109
10000,5248896,22580648,9909,91,15240585,41,0.0091
10000,5242725,22539715,9880,120,15180588,42,0.012
10000,4978427,21343747,9905,95,14574152,43,0.0095
10000,5309521,22891693,9887,113,15407682,44,0.0113
10000,5126503,22018582,9913,87,14944075,45,0.0087
10000,5096721,21886286,9882,118,14835584,46,0.0118
10000,5097872,21879746,9907,93,14828105,47,0.0093
10000,5041140,21664413,9894,106,14712851,48,0.0106
10000,5140828,22125495,9922,78,14958043,49,0.0078
10000,5144000,22108172,9900,100,14971431,50,0.01
10000,5003997,21533001,9912,88,14647393,51,0.0088
10000,5088057,21923854,9903,97,14863496,52,0.0097
10000,5174066,22275844,9900,100,15094905,53,0.01
10000,5230180,22449613,9895,105,15177627,54,0.0105
10000,5129644,22060961,9897,103,14982123,55,0.0103
7746,3872822,16695946,7658,88,11330779,56,0.011360702297960238
