variant,seed,bin,count,confidence,accuracy
M0,1701,2,11,0.2743434106761759,0.2727272727272727
M0,1701,3,81,0.3557394798155184,0.24691358024691357
M0,1701,4,215,0.45843950496163477,0.32558139534883723
M0,1701,5,321,0.5470265224343891,0.40809968847352024
M0,1701,6,323,0.6477912845257267,0.4551083591331269
M0,1701,7,411,0.7504525455825231,0.45012165450121655
M0,1701,8,503,0.855956579771478,0.558648111332008
M0,1701,9,8373,0.9916401971458577,0.9315657470440702
M0,2903,1,1,0.19635812938213348,0.0
M0,2903,2,18,0.26799119677808547,0.05555555555555555
M0,2903,3,101,0.3561721396918344,0.2871287128712871
M0,2903,4,246,0.45786993181317803,0.32926829268292684
M0,2903,5,318,0.5507310527675556,0.37735849056603776
M0,2903,6,273,0.6486904361309149,0.3956043956043956
M0,2903,7,414,0.7508409541586171,0.5217391304347826
M0,2903,8,526,0.8529510181892961,0.5304182509505704
M0,2903,9,8341,0.9908766110528503,0.9343004435918955
M0,4307,3,28,0.3605107558625085,0.21428571428571427
M0,4307,4,95,0.4613446492897837,0.2631578947368421
M0,4307,5,184,0.5474124375892722,0.34782608695652173
M0,4307,6,206,0.649279205544481,0.38349514563106796
M0,4307,7,273,0.7472780853400737,0.4175824175824176
M0,4307,8,317,0.850397343139167,0.4384858044164038
M0,4307,9,9135,0.9955606798820308,0.9055281882868089
M1,1701,2,1,0.253244549036026,0.0
M1,1701,3,9,0.3696550594435798,0.4444444444444444
M1,1701,4,72,0.46140187937352395,0.2777777777777778
M1,1701,5,155,0.5564576921924468,0.36774193548387096
M1,1701,6,169,0.6524282662120796,0.44970414201183434
M1,1701,7,204,0.7518851704457227,0.39215686274509803
M1,1701,8,283,0.8569340516316175,0.48056537102473496
M1,1701,9,9345,0.9960814714495545,0.8949170679507759
M1,2903,3,14,0.3652350051062448,0.07142857142857142
M1,2903,4,59,0.46719083745600815,0.3728813559322034
M1,2903,5,180,0.5491230332189136,0.32222222222222224
M1,2903,6,190,0.651552910240073,0.38421052631578945
M1,2903,7,202,0.753624147707873,0.40594059405940597
M1,2903,8,264,0.8525977760101809,0.45075757575757575
M1,2903,9,9329,0.996129209198667,0.8945224568549683
M1,4307,2,16,0.2623681230470538,0.0
M1,4307,3,47,0.35870000656614914,0.14893617021276595
M1,4307,4,126,0.45608122055492706,0.31746031746031744
M1,4307,5,256,0.5500825787894428,0.3203125
M1,4307,6,238,0.6492327101090375,0.42436974789915966
M1,4307,7,298,0.7489513316810531,0.4463087248322148
M1,4307,8,407,0.8541650334212938,0.4864864864864865
M1,4307,9,8850,0.9942473898769099,0.9148022598870057
M2,1701,2,12,0.2605775135258834,0.16666666666666666
M2,1701,3,69,0.36218105321345123,0.2028985507246377
M2,1701,4,199,0.4611492522397832,0.3768844221105528
M2,1701,5,321,0.5496767142851404,0.4205607476635514
M2,1701,6,326,0.6497296981650628,0.4233128834355828
M2,1701,7,365,0.7515037303101526,0.4410958904109589
M2,1701,8,492,0.8546727315439442,0.5528455284552846
M2,1701,9,8454,0.9922857921696566,0.9234681807428436
