variant,true,predicted,rate
M0,BAR,BAR,0.8321226795803067
M0,BAR,CHI,0.004842615012106538
M0,BAR,KHU,0.005649717514124295
M0,BAR,KIS,0.012106537530266344
M0,BAR,MYM,0.02098466505246166
M0,BAR,NAR,0.025020177562550445
M0,BAR,NOA,0.005649717514124294
M0,BAR,NSD,0.011299435028248588
M0,BAR,RAJ,0.007263922518159807
M0,BAR,RAN,0.029862792574656977
M0,BAR,STD,0.020177562550443905
M0,BAR,SYL,0.006456820016142051
M0,BAR,TAN,0.018563357546408397
M0,CHI,BAR,0.0006696802276912775
M0,CHI,CHI,0.9429097605893185
M0,CHI,KHU,0.0008371002846140968
M0,CHI,KIS,0.00803616273229533
M0,CHI,MYM,0.0006696802276912775
M0,CHI,NAR,0.0051900217646074
M0,CHI,NOA,0.0041855014230704835
M0,CHI,NSD,0.0038506613092248454
M0,CHI,RAJ,0.00033484011384563874
M0,CHI,RAN,0.005859701992298678
M0,CHI,STD,0.009877783358446341
M0,CHI,SYL,0.014900385066130922
M0,CHI,TAN,0.00267872091076511
M0,KHU,BAR,0.023255813953488372
M0,KHU,CHI,0.011627906976744186
M0,KHU,KHU,0.40310077519379844
M0,KHU,KIS,0.031007751937984496
M0,KHU,MYM,0.046511627906976744
M0,KHU,NAR,0.13953488372093023
M0,KHU,NOA,0.003875968992248062
M0,KHU,NSD,0.031007751937984496
M0,KHU,RAJ,0.015503875968992248
M0,KHU,RAN,0.11240310077519382
M0,KHU,STD,0.14728682170542637
M0,KHU,SYL,0.003875968992248062
M0,KHU,TAN,0.031007751937984496
M0,KIS,BAR,0.003764115432873274
M0,KIS,CHI,0.010037641154328732
M0,KIS,KHU,0.002509410288582183
M0,KIS,KIS,0.7737348389795065
M0,KIS,MYM,0.011292346298619823
M0,KIS,NAR,0.015892931827687157
M0,KIS,NOA,0.004600585529067336
M0,KIS,NSD,0.061898787118360506
M0,KIS,RAJ,0.0012547051442910913
M0,KIS,RAN,0.015892931827687157
M0,KIS,STD,0.02425763278962777
M0,KIS,SYL,0.03722291928063571
M0,KIS,TAN,0.037641154328732745
M0,MYM,BAR,0.01545253863134658
M0,MYM,CHI,0.004415011037527594
M0,MYM,KHU,0.00772626931567329
M0,MYM,KIS,0.0684326710816777
M0,MYM,MYM,0.7626931567328917
M0,MYM,NAR,0.009933774834437087
M0,MYM,NOA,0.011037527593818985
M0,MYM,NSD,0.018763796909492276
M0,MYM,RAJ,0.0011037527593818985
M0,MYM,RAN,0.018763796909492272
M0,MYM,STD,0.04304635761589404
M0,MYM,SYL,0.03090507726269316
M0,MYM,TAN,0.00772626931567329
M0,NAR,BAR,0.00886319845857418
M0,NAR,CHI,0.005780346820809248
M0,NAR,KHU,0.006936416184971097
M0,NAR,KIS,0.021579961464354525
M0,NAR,MYM,0.003082851637764932
M0,NAR,NAR,0.7718689788053948
M0,NAR,NOA,0.0011560693641618496
M0,NAR,NSD,0.02658959537572254
M0,NAR,RAJ,0.003082851637764932
M0,NAR,RAN,0.03198458574181117
M0,NAR,STD,0.06435452793834295
M0,NAR,SYL,0.008477842003853563
M0,NAR,TAN,0.046242774566473986
M0,NOA,BAR,0.020512820512820513
M0,NOA,CHI,0.13076923076923078
M0,NOA,KHU,0.010256410256410256
M0,NOA,KIS,0.008974358974358975
M0,NOA,MYM,0.014102564102564103
M0,NOA,NAR,0.019230769230769232
M0,NOA,NOA,0.7192307692307692
M0,NOA,NSD,0.006410256410256411
M0,NOA,RAJ,0.0
M0,NOA,RAN,0.016666666666666666
M0,NOA,STD,0.015384615384615385
M0,NOA,SYL,0.01794871794871795
M0,NOA,TAN,0.020512820512820513
M0,NSD,BAR,0.017361111111111112
M0,NSD,CHI,0.013888888888888888
M0,NSD,KHU,0.0023148148148148147
M0,NSD,KIS,0.12037037037037036
M0,NSD,MYM,0.009837962962962963
M0,NSD,NAR,0.03877314814814815
M0,NSD,NOA,0.0011574074074074073
M0,NSD,NSD,0.6527777777777778
M0,NSD,RAJ,0.0
M0,NSD,RAN,0.024305555555555556
M0,NSD,STD,0.024305555555555552
M0,NSD,SYL,0.03993055555555556
M0,NSD,TAN,0.05497685185185185
M0,RAJ,BAR,0.025641025641025644
M0,RAJ,CHI,0.0
M0,RAJ,KHU,0.014652014652014654
M0,RAJ,KIS,0.01098901098901099
M0,RAJ,MYM,0.018315018315018316
M0,RAJ,NAR,0.025641025641025644
M0,RAJ,NOA,0.0
M0,RAJ,NSD,0.0036630036630036634
M0,RAJ,RAJ,0.7362637362637363
M0,RAJ,RAN,0.03296703296703297
M0,RAJ,STD,0.0989010989010989
M0,RAJ,SYL,0.025641025641025644
M0,RAJ,TAN,0.007326007326007327
M0,RAN,BAR,0.013235294117647059
M0,RAN,CHI,0.015196078431372549
M0,RAN,KHU,0.0049019607843137246
M0,RAN,KIS,0.028431372549019607
M0,RAN,MYM,0.0034313725490196074
M0,RAN,NAR,0.048039215686274506
M0,RAN,NOA,0.0034313725490196074
M0,RAN,NSD,0.023529411764705882
M0,RAN,RAJ,0.007352941176470587
M0,RAN,RAN,0.7607843137254902
M0,RAN,STD,0.045098039215686274
M0,RAN,SYL,0.018627450980392157
M0,RAN,TAN,0.02794117647058823
M0,STD,BAR,0.0016289056715533838
M0,STD,CHI,0.005330964015992892
M0,STD,KHU,0.001776988005330964
M0,STD,KIS,0.004590552347104991
M0,STD,MYM,0.0010365763364430624
M0,STD,NAR,0.010069598696875461
M0,STD,NOA,0.0005923293351103214
M0,STD,NSD,0.0029616466755516065
M0,STD,RAJ,0.0005923293351103213
M0,STD,RAN,0.007552199022656597
M0,STD,STD,0.9413593958240781
M0,STD,SYL,0.013623574707537391
M0,STD,TAN,0.00888494002665482
M0,SYL,BAR,0.006870409855484483
M0,SYL,CHI,0.013977730395640842
M0,SYL,KHU,0.0002369106846718787
M0,SYL,KIS,0.01303008765695333
M0,SYL,MYM,0.007581141909500118
M0,SYL,NAR,0.006396588486140724
M0,SYL,NOA,0.0018952854773750295
M0,SYL,NSD,0.007581141909500118
M0,SYL,RAJ,0.0004738213693437574
