dialect,rows,chrfpp,sacrebleu,ter,cer,wer,exact_match,number_preservation,variant,seed
BAR,333,41.29190564234106,18.601134377617,69.26855895196506,0.5470718232044199,0.7216138328530259,0.057057057057057,1.0,M0,1701
CHI,1706,51.172046522157935,28.868065444281385,64.36180330987256,0.4849057622725063,0.6404048422306013,0.152989449003517,0.4583333333333333,M0,1701
KHU,89,34.42844961463222,13.103709617604974,74.57983193277312,0.5688949522510232,0.7754137115839244,0.0337078651685393,,M0,1701
MYM,250,54.03000919630392,31.583953009705112,51.2280701754386,0.3770491803278688,0.5286343612334802,0.116,1.0,M0,1701
NAR,101,34.683274280704815,10.70350433864571,86.23188405797102,0.6719538572458543,0.905511811023622,0.0297029702970297,,M0,1701
NOA,249,38.341336060174136,14.08993657183814,76.98803659394792,0.6116697351649908,0.7917586460632818,0.0240963855421686,1.0,M0,1701
RAN,159,31.910084290999404,11.53530466847174,72.73781902552204,0.5950755728912726,0.7651612903225806,0.0377358490566037,,M0,1701
SYL,1402,43.63003032735328,20.017226167058578,74.75218658892129,0.5820734574158345,0.7476612506154604,0.0641940085592011,0.6923076923076923,M0,1701
BAR,333,44.12867111024252,22.49904980787226,65.88427947598254,0.4916022099447514,0.639193083573487,0.087087087087087,1.0,M0,2903
CHI,1706,49.71047742231897,25.870029839148977,69.8021685371885,0.5521412755845979,0.7053978964080174,0.1412661195779601,0.375,M0,2903
KHU,89,35.00902490853493,16.47749801783169,69.9579831932773,0.5447930877671668,0.7304964539007093,0.0449438202247191,,M0,2903
MYM,250,52.11801650761792,24.15469241473201,65.05263157894737,0.5036743923120407,0.6784140969162996,0.112,1.0,M0,2903
NAR,101,35.67750234869672,12.68405380660035,78.26086956521739,0.6842105263157895,0.8248031496062992,0.0396039603960396,,M0,2903
NOA,249,37.2155903487383,15.497722940184934,76.42505277973258,0.6494830760515508,0.7910228108903605,0.0441767068273092,1.0,M0,2903
RAN,159,32.18355189784695,12.335951255076152,84.91879350348029,0.6628473915163335,0.9032258064516128,0.0628930817610062,,M0,2903
SYL,1402,43.81589723331902,19.71125203740857,75.14868804664722,0.5901611059589794,0.7593549975381585,0.0620542082738944,0.4615384615384615,M0,2903
BAR,333,42.482470752991375,19.652712881521527,70.96069868995633,0.5395580110497238,0.7048991354466859,0.066066066066066,1.0,M0,4307
CHI,1706,49.17594013550959,26.35352401807905,69.4122122883774,0.5653363575813216,0.7001389164516769,0.1483001172332942,0.4583333333333333,M0,4307
KHU,89,32.733028885689805,12.303083890220712,74.57983193277312,0.5907230559345157,0.7872340425531915,0.0337078651685393,,M0,4307
MYM,250,51.87366636454637,29.33763074314521,55.29824561403509,0.4133691351045788,0.5770925110132159,0.12,1.0,M0,4307
NAR,101,36.74852289884469,14.312947428596326,69.20289855072464,0.5223503965392935,0.7263779527559056,0.0495049504950495,,M0,4307
NOA,249,38.61630609634785,14.935974410055756,86.69950738916256,0.6610961620167115,0.8373804267844003,0.0441767068273092,1.0,M0,4307
RAN,159,32.84058126676601,12.608779945004647,81.32250580046404,0.6533398342272062,0.8670967741935484,0.0628930817610062,,M0,4307
SYL,1402,43.81344313946048,19.797407253977447,77.28279883381924,0.5904199107123601,0.7676021664204825,0.0691868758915834,0.5,M0,4307
BAR,333,43.6026879968108,22.08759248531636,60.91703056768559,0.4758011049723757,0.6363112391930835,0.069069069069069,0.0,M1,1701
CHI,1706,49.69911225615876,26.852388284896183,69.42172341639719,0.5173804251948659,0.6666005159753919,0.145369284876905,0.375,M1,1701
KHU,89,37.04591233191473,15.68156688638991,70.58823529411765,0.5306957708049114,0.7399527186761229,0.0337078651685393,,M1,1701
MYM,250,53.08394642841096,31.560899850504764,51.64912280701755,0.3866591294516676,0.5381791483113069,0.144,0.0,M1,1701
NAR,101,41.198852341856586,17.30045222062748,63.94927536231884,0.4700793078586878,0.6732283464566929,0.0693069306930693,,M1,1701
