variant,seed,stage,elapsed_minutes,tokens_per_second,peak_memory_gib
M0,1701,stage_s,44.28264700869962,2258.283776796069,16.759947776794434
M0,1701,stage_id,37.527174009416676,6773.990405003004,10.009869575500488
M0,2903,stage_s,47.148671545149895,2120.9890626696497,16.737196922302246
M0,2903,stage_id,30.221293467266758,7646.887568979824,10.004010200500488
M0,4307,stage_s,40.411150673966524,2474.6767084204253,16.73710536956787
M0,4307,stage_id,55.305641138166536,8357.152311316451,9.992993354797363
M1,1701,stage_s,63.40809022386675,1577.1297161019427,21.57158088684082
M1,1701,stage_id,84.18648199279997,5215.656634409384,14.905126571655273
M1,2903,stage_s,65.79917030416642,1519.8036115712923,21.575008392333984
M1,2903,stage_id,89.62606690451697,5156.955812409669,16.261249542236328
M1,4307,stage_s,67.01084235478338,1492.3634716284803,22.99282741546631
M1,4307,stage_id,77.4390748356663,4774.826327897101,14.865407466888428
M2,1701,stage_s,86.2694508630501,1159.191142784535,19.614072799682617
M2,1701,stage_id,49.92331042806715,5554.892045862608,13.160840511322021
