variant,seed,status,norm_macro_chrfpp,norm_worst_dialect_chrfpp,replay_nll,replay_degradation_percent,norm_selected_step,id_accuracy,id_balanced_accuracy,id_macro_f1_13,id_regional_macro_f1,id_mcc,id_ece_15,id_brier,id_worst_present_dialect_f1,id_selected_epoch
M0,1701,COMPLETE_VALIDATION_ONLY,41.185892,31.910084,3.793479,0.972356,232,0.843622,0.757542,0.772594,0.760473,0.819624,0.090004,0.247571,0.551282,7
M0,2903,COMPLETE_VALIDATION_ONLY,41.232341,32.183552,3.799282,1.127993,195,0.842645,0.759408,0.764757,0.751883,0.818501,0.088226,0.244659,0.418919,6
M0,4307,COMPLETE_VALIDATION_ONLY,41.035495,32.733029,3.800387,1.143515,195,0.849678,0.757693,0.776931,0.765156,0.826415,0.113052,0.256568,0.413793,14
M1,1701,COMPLETE_VALIDATION_ONLY,42.277708,31.533837,3.850254,1.898443,195,0.853292,0.771992,0.778832,0.766971,0.830887,0.117497,0.260904,0.451613,15
M1,2903,COMPLETE_VALIDATION_ONLY,41.801767,31.503679,3.83698,1.705217,232,0.849775,0.76684,0.779615,0.767832,0.827011,0.119703,0.263111,0.509554,16
M1,4307,COMPLETE_VALIDATION_ONLY,41.963316,31.806382,3.854795,2.094397,232,0.845575,0.766301,0.770574,0.758643,0.822002,0.106152,0.252759,0.422857,12
M2,1701,COMPLETE_VALIDATION_ONLY,41.728011,31.362529,3.731,1.168383,78,0.840399,0.758258,0.765714,0.753339,0.815973,0.096476,0.25403,0.438503,8
M2,2903,COMPLETE_VALIDATION_ONLY,42.021532,32.208749,3.719093,0.809207,232,0.84958,0.760276,0.768552,0.755539,0.826529,0.111601,0.257714,0.374101,13
M2,4307,COMPLETE_VALIDATION_ONLY,42.103281,31.977464,3.723064,0.959279,195,0.851827,0.771976,0.781316,0.769447,0.829224,0.123384,0.267993,0.476744,18
M3,1701,COMPLETE_VALIDATION_ONLY,40.577305,32.555298,3.708021,1.146834,232,0.83864,0.760374,0.765588,0.752919,0.814199,0.098741,0.259858,0.449704,8
M3,2903,COMPLETE_VALIDATION_ONLY,40.253018,30.604304,3.703444,1.179392,232,0.846064,0.754521,0.766471,0.753547,0.822475,0.111037,0.26138,0.381579,12
M3,4307,COMPLETE_VALIDATION_ONLY,39.695777,31.329935,3.711527,1.464859,156,0.837859,0.748566,0.759756,0.746563,0.813093,0.097562,0.255269,0.435294,7
