dialect,is_synthetic,rows,split
BAR,False,491,test
BAR,False,608,test_ood
BAR,False,2727,train
BAR,True,408,train
BAR,False,333,validation
CHI,False,1879,test
CHI,False,2096,test_ood
CHI,False,13655,train
CHI,True,909,train
CHI,False,1706,validation
KHU,False,101,test
KHU,False,711,train
KHU,True,106,train
KHU,False,89,validation
MYM,False,375,test
MYM,False,1384,test_ood
MYM,False,1868,train
MYM,True,280,train
MYM,False,250,validation
NAR,False,101,test
NAR,False,928,train
NAR,True,139,train
NAR,False,101,validation
NOA,False,373,test
NOA,False,1400,test_ood
NOA,False,1869,train
NOA,True,280,train
NOA,False,249,validation
RAJ,False,1387,test_ood
RAN,False,127,test
RAN,False,1100,train
RAN,True,164,train
RAN,False,159,validation
SYL,False,1586,test
SYL,False,2104,test_ood
SYL,False,13439,train
SYL,True,1039,train
SYL,False,1402,validation
